season	gamecode	tm_score	opp_score	tm_line	total
2005	255019320051015	10	35	19	48
2005	157041520050924	3	23	14	44
2005	732045720051001	31	17	-3.5	52
2005	388012820050924	23	13	3	48.5
2005	796003720060102	10	24		53
2005	196074920050917	34	44	15	50
2005	433069420051001	10	27	21	41
2005	651054520051015	31	17	-3	46
2005	156042820050910	24	56	12.5	58
2005	51072520050917	10	20	4.5	53.5
2005	71004720050910	40	31	-28.5	64
2005	77051320051022	23	49	19.5	57.5
2005	5041420051015	23	51	14.5	56.5
2005	196074920050917	44	34	-15	50
2005	331051920050924	35	32	-4	44
2005	414033120050917	10	27	6	55
2005	67074220051027	10	30	14	46.5
2005	768065120051203	13	28	8	45.5
2005	503012920051105	28	31	4	50
2005	51052220051022	37	30	-15	39.5
2005	704071820051014	21	45		50.5
2005	490025520051006	17	14	5.5	45
2005	746045720051022	5	7	0	53
2005	626027720051203	49	38	-2.5	50
2005	473069820051001	28	49	3	48
2005	235036520051015	21	17	-6	50
2005	51043420051112	16	31	9	48
2005	51043420051112	31	16	-9	48
2005	414020420051022	24	23	-11	54
2005	688054520051022	34	17	-13	42
2005	716049720051004	13	10	3	47
2005	328015720051022	13	44	14.5	41.5
2005	331000520051124	35	3	-12	41.5
2005	700005120051029	0	28	10	60
2005	47051920051022	21	38	8.5	49
2005	96027720051029	13	27	12.5	69.5
2005	51031120051008	13	23	-10	42
2005	66036620051126	30	13	-6.5	63
2005	306041620051029	15	46	18	63.5
2005	416051320050917	44	41	7	57
2005	587068820051015	31	9	3	46
2005	8064820050917	37	14	-1	42.5
2005	651053920050903	23	13	-24.5	42
2005	497022920051112	23	26	7	42.5
2005	311046320051001	27	20	-4.5	40
2005	96065720051119	50	42	-25	62.5
2005	690079620050910	65	0	-34	54.5
2005	473081120051015	24	27	-7	50.5
2005	235033420050924	49	28	-23.5	50.5
2005	128057420051119	28	31	10	57.5
2005	796027720051125	24	41	6.5	68.5
2005	367074220060102	24	35		55
2005	518030620051022	41	10	-15.5	46.5
2005	71008620051015	7	27	24	53
2005	47031220050903	56	0	-38.5	54
2005	231071620051020	13	18	9	45.5
2005	518041820051119	25	21	-2.5	44
2005	742039220051020	28	9	-11	49
2005	229032820050903	30	19	-19.5	42
2005	709009620050927	44	14	-9.5	61
2005	716003020051112	3	9	3	48.5
