date,type,home.team,away.team,home.score,away.score,home.line,over.under,season
2019090500,Week 1,CHI,GB,3,10,,,2019
2019090800,Week 1,CAR,LA,27,30,,,2019
2019090806,Week 1,PHI,WAS,32,27,,,2019
2019090805,Week 1,NYJ,BUF,16,17,,,2019
2019090804,Week 1,MIN,ATL,28,12,,,2019
2019090803,Week 1,MIA,BAL,10,59,,,2019
2019090802,Week 1,JAX,KC,26,40,,,2019
2019090801,Week 1,CLE,TEN,13,43,,,2019
2019090807,Week 1,LAC,IND,30,24,,,2019
2019090808,Week 1,SEA,CIN,21,20,,,2019
2019090811,Week 1,TB,SF,17,31,,,2019
2019090810,Week 1,DAL,NYG,35,17,,,2019
2019090809,Week 1,ARI,DET,27,27,,,2019
2019090812,Week 1,NE,PIT,33,3,,,2019
2019090900,Week 1,NO,HOU,30,28,,,2019
2019090901,Week 1,OAK,DEN,24,16,,,2019
2019091200,Week 2,CAR,TB,14,20,,,2019
2019091500,Week 2,BAL,ARI,23,17,,,2019
2019091509,Week 2,WAS,DAL,21,31,,,2019
2019091508,Week 2,TEN,IND,17,19,,,2019
2019091507,Week 2,PIT,SEA,26,28,,,2019
2019091506,Week 2,NYG,BUF,14,28,,,2019
2019091501,Week 2,CIN,SF,17,41,,,2019
2019091502,Week 2,DET,LAC,13,10,,,2019
2019091503,Week 2,GB,MIN,21,16,,,2019
2019091504,Week 2,HOU,JAX,13,12,,,2019
2019091505,Week 2,MIA,NE,0,43,,,2019
2019091510,Week 2,OAK,KC,10,28,,,2019
2019091512,Week 2,LA,NO,27,9,,,2019
2019091511,Week 2,DEN,CHI,14,16,,,2019
2019091513,Week 2,ATL,PHI,24,20,,,2019
2019091600,Week 2,NYJ,CLE,3,23,,,2019
2019091900,Week 3,JAX,TEN,20,7,,,2019
2019092200,Week 3,BUF,CIN,21,17,,,2019
2019092207,Week 3,PHI,DET,24,27,,,2019
2019092206,Week 3,NE,NYJ,30,14,,,2019
2019092205,Week 3,MIN,OAK,34,14,,,2019
2019092204,Week 3,KC,BAL,33,28,,,2019
2019092203,Week 3,IND,ATL,27,24,,,2019
2019092202,Week 3,GB,DEN,27,16,,,2019
2019092201,Week 3,DAL,MIA,31,6,,,2019
2019092209,Week 3,TB,NYG,31,32,,,2019
2019092208,Week 3,ARI,CAR,20,38,,,2019
2019092212,Week 3,SF,PIT,24,20,,,2019
2019092211,Week 3,SEA,NO,27,33,,,2019
