tm	opp	season	week	player	reg_play	yards_adj	dpos	start	yob	value
"ARI"	"NYG"	2000	1	"JP-3200"	63	4.889669	42	1997	1974	5.299015
"ATL"	"SF"	2000	1	"CC-1400"	60.8	5.480735	76	1988	1965	4.134471
"BAL"	"PIT"	2000	1	"TB-0200"	61	5.262356	42	1996	1973	5.299015
"BUF"	"TEN"	2000	1	"AV-0200"	13	5.505561	216	1993	1970	3.539205
"BUF"	"TEN"	2000	1	"RJ-1200"	53	3.627477	99	1995	1973	3.92157
"CAR"	"WAS"	2000	1	"SB-0700"	52	4.538791	110	1987	1965	3.814338
"CHI"	"MIN"	2000	1	"CM-2200"	68	6.105979	12	1999	1977	6.852072
"CLE"	"JAC"	2000	1	"TC-2600"	36.6	5.682894	1	1999	1977	7.807715
"DAL"	"PHI"	2000	1	"TA-0300"	15.8	1.628106	1	1989	1966	7.807715
"DAL"	"PHI"	2000	1	"RC-2800"	12.7	3.69408	37	1985	1963	5.491633
"DEN"	"LAR"	2000	1	"BG-1900"	60	6.889316	91	1998	1975	3.924745
"DET"	"NO"	2000	1	"SC-0200"	59	3.02547	80	1995	1972	4.045168
"GB"	"NYJ"	2000	1	"BF-0100"	51	4.038705	33	1991	1969	5.677783
"IND"	"KC"	2000	1	"PM-0200"	60.6	6.273195	1	1998	1976	7.807715
"JAC"	"CLE"	2000	1	"MB-4500"	75.1	5.512266	118	1993	1970	3.766246
"KC"	"IND"	2000	1	"EG-0600"	62	4.453557	219	1994	1970	3.509402
"LAC"	"OAK"	2000	1	"RL-0300"	65	3.846841	2	1998	1976	7.649599
"LAC"	"OAK"	2000	1	"MM-5000"	6	2.836584	232	1998	1975	3.323541
"LAR"	"DEN"	2000	1	"KW-0500"	55	8.83883	0	1998	1971	3
"MIA"	"SEA"	2000	1	"JF-1400"	41.8	5.400856	0	1995	1971	3
"MIN"	"CHI"	2000	1	"DC-4400"	54	6.582936	11	1999	1977	6.92533
"NE"	"TB"	2000	1	"DB-2600"	64	4.2452	1	1993	1972	7.807715
"NO"	"DET"	2000	1	"JB-3800"	64	3.969511	166	1992	1970	3.727552
"NYG"	"ARI"	2000	1	"KC-2000"	61	6.11506	1	1995	1972	7.807715
"NYJ"	"GB"	2000	1	"VT-0200"	78	4.959394	1	1987	1963	7.807715
"OAK"	"LAC"	2000	1	"RG-0200"	64	3.611574	98	1987	1965	3.871378
"PHI"	"DAL"	2000	1	"DM-2200"	49.5	5.225032	2	1999	1976	7.649599
"PHI"	"DAL"	2000	1	"KD-0600"	.2	2.683306	207	1998	1973	3.618445
"PIT"	"BAL"	2000	1	"KG-0800"	49.7	3.965508	211	1992	1968	3.585316
"PIT"	"BAL"	2000	1	"KS-2300"	2	-.0662593	60	1995	1972	4.682622
"SEA"	"MIA"	2000	1	"BH-2100"	10.3	1.105103	77	2000	1976	4.117858
"SEA"	"MIA"	2000	1	"JK-1500"	24.4	4.636464	0	1997	1972	3
"SF"	"ATL"	2000	1	"JG-0600"	60.9	5.392161	0	1999	1970	3
"TB"	"NE"	2000	1	"SK-0400"	63	4.798877	50	1999	1977	5.001646
"TEN"	"BUF"	2000	1	"SM-2400"	53	3.411351	3	1995	1973	7.557323
"WAS"	"CAR"	2000	1	"BJ-1400"	67	5.788732	227	1992	1968	3.410072
"ARI"	"DAL"	2000	2	"JP-3200"	58	5.475414	42	1997	1974	5.299015
"ATL"	"DEN"	2000	2	"DJ-1800"	.8	3.744434	0	2000	1977	3
"ATL"	"DEN"	2000	2	"CC-1400"	16.9	2.657391	76	1988	1965	4.134471
"BAL"	"JAC"	2000	2	"TB-0200"	59	5.562394	42	1996	1973	5.299015
"BUF"	"GB"	2000	2	"RJ-1200"	58.1	5.216608	99	1995	1973	3.92157
"CAR"	"SF"	2000	2	"JL-1500"	.6	-.9723663	100	1996	1973	3.911067
"CAR"	"SF"	2000	2	"SB-0700"	38.3	9.136044	110	1987	1965	3.814338
